"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
0.8,0.4213,0.4213,0,TRUE,"2025-07-01 07:42:59.704754",NA,NA,NA,NA,NA,NA,NA
1.3,0.4195,0.4195,0,TRUE,"2025-07-01 07:49:56.13999",NA,NA,NA,NA,NA,NA,NA
1.45,0.4161,0.4161,0,TRUE,"2025-07-01 07:57:41.643052",NA,NA,NA,NA,NA,NA,NA
1.65,0.4109,0.4109,0,TRUE,"2025-07-01 08:10:38.305733",NA,NA,NA,NA,NA,NA,NA
2.05,0.4029,0.4029,0,TRUE,"2025-07-01 08:28:11.835866",NA,NA,NA,NA,NA,NA,NA
2.3,0.3951,0.3951,0,TRUE,"2025-07-01 08:44:12.570465",NA,NA,NA,NA,NA,NA,NA
2.46,0.3857,0.3857,0,TRUE,"2025-07-01 09:18:00.5381",NA,1.45548511605177,0.00365439290960746,0.552665809220599,921.56840897399,-0.330237090335568,-17.5543567680947
2.55,0.3659,0.3659,0,TRUE,"2025-07-01 10:06:53.917163",NA,1.75281727564466,0.00865164361833261,0.699380111870471,392.887015587362,-0.505178112023982,-9.17830683064395
2.72,0.3585,0.3585,0,TRUE,"2025-07-01 11:19:53.237559",NA,1.87987627371306,0.0119184190083795,0.739622076878519,281.815500047607,-0.570533185297043,-7.24884002044798
3.16,0.3438,0.3438,0,TRUE,"2025-07-02 09:10:29.212197"," ",1.855025562612,0.0112451927956039,0.732129741074632,299.404734640746,-0.558119165265136,-7.56199301560542
