"","id","water_pot_mpa","mass_g","leaf_mass_g","offset_mass_g","note","dt","week","start_weight","mass_lost_g","state","date"
"1","5",-0.99,0.5218,0.5218,0,NA,2025-06-16 23:30:00.099112,4,0.5218,0,"Rehydrated","2025-06-17"
"2","5",-1.12,0.5194,0.5194,0,NA,2025-06-16 23:35:41.113684,4,0.5218,0.00240000000000007,"Rehydrated","2025-06-17"
"3","5",-1.21,0.5174,0.5174,0,NA,2025-06-16 23:44:55.849547,4,0.5218,0.00440000000000007,"Rehydrated","2025-06-17"
"4","5",-1.57,0.5136,0.5136,0,NA,2025-06-17 00:10:20.754314,4,0.5218,0.0082000000000001,"Rehydrated","2025-06-17"
"5","5",-1.85,0.51,0.51,0,NA,2025-06-17 00:34:22.552276,4,0.5218,0.0118,"Rehydrated","2025-06-17"
"6","5",-2.05,0.5043,0.5043,0,NA,2025-06-17 01:05:48.913768,4,0.5218,0.0175000000000001,"Rehydrated","2025-06-17"
"7","5",-2.21,0.5001,0.5001,0,NA,2025-06-17 01:40:26.793486,4,0.5218,0.0217000000000001,"Rehydrated","2025-06-17"
"8","5",-2.42,0.4946,0.4946,0,NA,2025-06-17 02:25:05.949255,4,0.5218,0.0272000000000001,"Rehydrated","2025-06-17"
"9","5",-2.48,0.4875,0.4875,0,NA,2025-06-17 03:29:35.663823,4,0.5218,0.0343000000000001,"Rehydrated","2025-06-17"
"10","5",-2.86,0.4707,0.4707,0,NA,2025-06-18 02:01:54.657753,4,0.5218,0.0511,"Rehydrated","2025-06-17"
"11","5",-2.98,0.458,0.458,0,NA,2025-06-18 03:36:49.624825,4,0.5218,0.0638,"Rehydrated","2025-06-17"
"12","5",-3.1,0.4505,0.4505,0,NA,2025-06-18 05:00:48.66886,4,0.5218,0.0713,"Rehydrated","2025-06-17"
"13","5",-3.34,0.4367,0.4367,0,NA,2025-06-18 07:40:19.259539,4,0.5218,0.0851000000000001,"Rehydrated","2025-06-17"
"14","16",-0.33,0.655,0.655,0,NA,2025-06-16 23:52:13.901865,4,0.655,0,"Rehydrated","2025-06-17"
"15","16",-0.53,0.6466,0.6466,0,NA,2025-06-16 23:55:40.239383,4,0.655,0.00840000000000007,"Rehydrated","2025-06-17"
"16","16",-0.65,0.64,0.64,0,NA,2025-06-16 23:59:16.918455,4,0.655,0.015,"Rehydrated","2025-06-17"
"17","16",-0.83,0.6304,0.6304,0,NA,2025-06-17 00:08:15.479881,4,0.655,0.0246000000000001,"Rehydrated","2025-06-17"
"18","16",-1.33,0.6134,0.6134,0,NA,2025-06-17 00:31:21.853777,4,0.655,0.0416000000000001,"Rehydrated","2025-06-17"
"19","16",-1.71,0.5946,0.5946,0,NA,2025-06-17 01:02:59.373099,4,0.655,0.0604,"Rehydrated","2025-06-17"
"20","16",-1.92,0.582,0.582,0,NA,2025-06-17 01:37:05.968738,4,0.655,0.0730000000000001,"Rehydrated","2025-06-17"
"21","16",-2.11,0.5696,0.5696,0,NA,2025-06-17 02:28:41.125125,4,0.655,0.0854,"Rehydrated","2025-06-17"
"22","16",-2.26,0.5456,0.5456,0,NA,2025-06-17 03:59:48.755406,4,0.655,0.1094,"Rehydrated","2025-06-17"
"23","16",-2.43,0.5336,0.5336,0,NA,2025-06-18 02:11:10.157179,4,0.655,0.1214,"Rehydrated","2025-06-17"
"24","16",-2.52,0.5174,0.5174,0,NA,2025-06-18 03:43:05.750462,4,0.655,0.1376,"Rehydrated","2025-06-17"
"25","16",-2.71,0.5078,0.5078,0,NA,2025-06-18 05:07:12.059263,4,0.655,0.1472,"Rehydrated","2025-06-17"
"26","16",-2.93,0.4902,0.4902,0,NA,2025-06-18 07:48:01.231436,4,0.655,0.1648,"Rehydrated","2025-06-17"
"27","69",-1.84,0.3327,0.3327,0,NA,2025-06-16 22:48:56.65616,4,0.3327,0,"Fresh","2025-06-17"
"28","69",-2.23,0.329,0.329,0,NA,2025-06-16 23:01:33.809668,4,0.3327,0.00369999999999998,"Fresh","2025-06-17"
"29","69",-2.31,0.3229,0.3229,0,NA,2025-06-16 23:21:41.556808,4,0.3327,0.00979999999999998,"Fresh","2025-06-17"
"30","69",-2.64,0.317,0.317,0,NA,2025-06-17 00:03:32.221109,4,0.3327,0.0157,"Fresh","2025-06-17"
"31","69",-2.75,0.3144,0.3144,0,NA,2025-06-17 00:26:12.745974,4,0.3327,0.0183,"Fresh","2025-06-17"
"32","69",-2.9,0.3099,0.3099,0,NA,2025-06-17 00:58:33.062857,4,0.3327,0.0228,"Fresh","2025-06-17"
"33","69",-3.33,0.3048,0.3048,0,NA,2025-06-17 01:44:06.665708,4,0.3327,0.0279,"Fresh","2025-06-17"
"34","69",-3.39,0.299,0.299,0,NA,2025-06-17 02:46:03.642474,4,0.3327,0.0337,"Fresh","2025-06-17"
"35","69",-3.85,0.2911,0.2911,0,NA,2025-06-17 04:22:32.08893,4,0.3327,0.0416,"Fresh","2025-06-17"
"36","69",-4.38,0.2857,0.2857,0,NA,2025-06-18 02:14:44.410465,4,0.3327,0.047,"Fresh","2025-06-17"
"37","69",-4.56,0.2781,0.2781,0,NA,2025-06-18 03:52:36.856204,4,0.3327,0.0546,"Fresh","2025-06-17"
"38","69",-4.84,0.2745,0.2745,0,NA,2025-06-18 05:11:51.234853,4,0.3327,0.0582,"Fresh","2025-06-17"
"39","122",-1.25,0.5248,0.527,0,NA,NA,4,0.5248,0,"Fresh","2025-06-17"
"40","122",-1.15,0.5211,0.5211,0,NA,2025-06-17 06:05:25,4,0.5248,0.00370000000000004,"Fresh","2025-06-17"
"41","122",-1.42,0.513,0.513,0,NA,2025-06-17 06:38:40,4,0.5248,0.0118,"Fresh","2025-06-17"
"42","122",-2.32,0.5035,0.5035,0,NA,2025-06-17 07:22:10,4,0.5248,0.0213000000000001,"Fresh","2025-06-17"
"43","122",-2.41,0.4983,0.4983,0,NA,2025-06-17 07:45:34,4,0.5248,0.0265,"Fresh","2025-06-17"
"44","122",-2.5,0.4935,0.4935,0,NA,2025-06-17 08:17:21,4,0.5248,0.0313000000000001,"Fresh","2025-06-17"
"45","122",-2.65,0.4881,0.4881,0,NA,2025-06-17 08:57:14,4,0.5248,0.0367000000000001,"Fresh","2025-06-17"
"46","122",-2.85,0.4826,0.4826,0,NA,2025-06-17 09:41:43,4,0.5248,0.0422000000000001,"Fresh","2025-06-17"
"47","122",-3.05,0.4703,0.4693,0,NA,2025-06-17 11:15:14,4,0.5248,0.0545,"Fresh","2025-06-17"
"48","122",-3.4,0.4575,0.4575,0,NA,2025-06-18 09:35:35,4,0.5248,0.0673,"Fresh","2025-06-17"
"49","122",-3.63,0.4457,0.4457,0,NA,2025-06-18 11:07:18,4,0.5248,0.0791000000000001,"Fresh","2025-06-17"
"50","122",-3.74,0.4377,0.4377,0,NA,2025-06-18 12:23:23,4,0.5248,0.0871000000000001,"Fresh","2025-06-17"
"51","122",-4.03,0.4275,0.4275,0,NA,2025-06-18 14:32:40,4,0.5248,0.0973000000000001,"Fresh","2025-06-17"
"52","46",-1.05,0.425,0.425,0,NA,2025-06-16 23:29:37.947491,4,0.425,0,"Rehydrated","2025-06-17"
"53","46",-1.15,0.4216,0.4216,0,NA,2025-06-16 23:41:56.122451,4,0.425,0.00340000000000001,"Rehydrated","2025-06-17"
"54","46",-1.25,0.4199,0.4199,0,"pv(""16"")",2025-06-16 23:49:11.499932,4,0.425,0.00509999999999999,"Rehydrated","2025-06-17"
"55","46",-1.37,0.4164,0.4164,0,NA,2025-06-17 00:00:52.832219,4,0.425,0.0086,"Rehydrated","2025-06-17"
"56","46",-1.56,0.4137,0.4137,0,NA,2025-06-17 00:17:33.492024,4,0.425,0.0113,"Rehydrated","2025-06-17"
"57","46",-1.93,0.4101,0.4101,0,NA,2025-06-17 00:42:24.635338,4,0.425,0.0149,"Rehydrated","2025-06-17"
"58","46",-2.11,0.4049,0.4049,0,NA,2025-06-17 01:13:28.230908,4,0.425,0.0201,"Rehydrated","2025-06-17"
"59","46",-2.3,0.3996,0.3996,0,NA,2025-06-17 01:53:20.573538,4,0.425,0.0254,"Rehydrated","2025-06-17"
"60","46",-2.43,0.3945,0.3945,0,NA,2025-06-17 02:37:51.151341,4,0.425,0.0305,"Rehydrated","2025-06-17"
"61","46",-2.66,0.3852,0.3852,0,"deceptive bubbling",2025-06-17 04:10:04.21085,4,0.425,0.0398,"Rehydrated","2025-06-17"
